# RTK ground truth trajectory (2D only, Z=0)
# Transformations applied:
#   1. Zero at origin (first measurement at 0,0)
#   2. Timestamps normalized to start at 0
#   3. Z coordinate set to 0 (2D trajectory)
# Original origin: (484992.14, 4418835.23)
# Format: t x y z qx qy qz qw
0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.199813128 0.003230592 0.003378358 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.400488377 0.000753816 0.002875288 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.599952936 0.001365814 -0.001019252 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.800565958 -0.000342144 -0.002532272 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.000177145 0.001965179 -0.002988241 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.200474262 0.004153421 -0.002096093 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.399755239 0.001588445 -0.001739753 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.599719524 0.000666533 -0.003510227 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.800006151 0.006137154 -0.004598347 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.000430346 0.003931373 -0.002597400 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.200351715 0.004027974 -0.003539362 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.399884939 0.002878142 0.000572436 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.599781513 0.002381945 0.001217811 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.800147295 0.001306944 0.004068389 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2.999508142 0.001968044 0.003330372 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
3.200335741 0.002678064 0.001444035 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
3.400207758 0.003018584 -0.000582661 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
3.599688053 0.003110862 0.000003203 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
3.799912930 0.003806511 -0.002559835 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.000493526 0.002999618 -0.000475598 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.199602365 0.004804510 -0.003242235 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.399609327 0.002119711 -0.000925460 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.599542379 0.001505271 -0.004262595 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.799964428 0.003875371 -0.003462746 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.999504805 -0.000508016 -0.002899356 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
5.199638844 0.002190690 -0.005516104 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
5.399601221 0.002468226 -0.003666924 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
5.600102425 0.000149092 -0.003567359 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
5.799867153 0.002892074 -0.005360972 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
5.999926329 0.001769398 -0.004737812 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.200136423 0.003124913 -0.005908797 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.400125742 0.001996122 -0.001814298 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.600435019 0.000857616 -0.000177904 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.799171925 0.001628437 -0.003317948 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.999592543 0.000428724 0.000521776 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.198698759 -0.000610503 -0.003818880 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.398742914 -0.001230969 -0.000036315 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.600081205 0.003946764 0.014712881 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.798844099 0.002688507 0.004539510 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.999172211 0.003718294 0.006800567 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.200392723 0.002983709 0.003699882 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.399326324 0.003067963 0.003519285 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.599237680 -0.000090290 0.002503724 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.799146652 0.001485894 0.005931725 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.999482155 0.002065292 0.003117374 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
