# SLAM trajectory after alignment and scaling (2D only, Z=0)
# Transformations applied:
#   1. Mirror Y-axis
#   2. Rotate 120° CCW
#   3. Scale by 2906.7249
#   4. Zero at origin (first pose)
#   5. Z coordinate set to 0 (2D trajectory)
# Quaternions set to identity (original orientations invalid after transform)
# Format: t x y z qx qy qz qw
0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.166666672 -122.340703892 425.383529827 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.266666681 -15.697270565 240.323552148 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.300000012 45.020649369 272.925537522 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
0.333333343 -254.608258357 734.155488769 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.166666627 -122.194715250 421.036757547 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.233333349 -165.628970659 684.011563794 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.266666651 141.529543233 315.423517165 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.299999952 -8.192666166 451.665023573 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.333333373 9.065451828 492.473965680 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.366666675 -173.322115608 332.481916972 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.399999976 -597.384617278 570.871800725 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.433333278 -522.332067098 628.141070456 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
86.099998474 111.832862214 -548.575860374 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
